noun,gender,lang
agace,f,fr
after,m,fr
affinité,f,fr
affliction,f,fr
agape,f,fr
affiliation,f,fr
affiche,f,fr
aflatoxine,f,fr
adénopathie,f,fr
amélanche,f,fr
aménité,f,fr
amure,f,fr
amulette,f,fr
amour,m,fr
amputation,f,fr
amphore,f,fr
amnistie,f,fr
ampleur,f,fr
ampoule,f,fr
aulofée,f,fr
auge,f,fr
amitié,f,fr
auloffée,f,fr
ammoniaque,f,fr
auditoire,f,fr
audiophile,m,fr
audience,f,fr
aubépine,f,fr
audioconférence,f,fr
auburn,f,fr
aubergine,f,fr
audace,f,fr
auberge de la jeunesse,f,fr
auberge,f,fr
avarie,f,fr
auberge de jeunesse,f,fr
aube,f,fr
bombe,f,fr
bogue,f,fr
boite,f,fr
boisson,f,fr
bodega,f,fr
bobine,f,fr
bogomile,m,fr
blouse,f,fr
blessure,f,fr
blatte,f,fr
blogueuse,f,fr
Biélorusse,m,fr
blogosphère,f,fr
choriste,m,fr
chirurgie,f,fr
Chine,f,fr
Chinoise,f,fr
chorba,f,fr
chimiothérapie,f,fr
chlorophylle,f,fr
bière,f,fr
chimie supramoléculaire,f,fr
chicha,f,fr
chimio,f,fr
cheville,f,fr
chevrotine,f,fr
chimie,f,fr
chenille,f,fr
chevelure,f,fr
dame,f,fr
danse,f,fr
daine,f,fr
Danoise,f,fr
dague,f,fr
côtelette,f,fr
dameuse,f,fr
dance,f,fr
Côte d’Azur,f,fr
cérémonie,f,fr
céréale,f,fr
cépée,f,fr
cédille,f,fr
fantasy,f,fr
célérité,f,fr
farine,f,fr
farfalle,f,fr
fatalité,f,fr
FAQ,f,fr
fange,f,fr
farde,f,fr
famille,f,fr
fanfare,f,fr
fantaisie,f,fr
fanfiction,f,fr
famille homoparentale,f,fr
famille multigénique,f,fr
fajita,f,fr
falaise,f,fr
faim,f,fr
faiseuse d’anges,f,fr
hernie,f,fr
hermine,f,fr
herminette,f,fr
faculté,f,fr
herbe,f,fr
hauteur,f,fr
hanche,f,fr
harpe,f,fr
halte,f,fr
haleine,f,fr
hausse,f,fr
halde,f,fr
hache,f,fr
liposuccion,f,fr
Lisbonne,f,fr
liste,f,fr
lithosphère,f,fr
lipoaspiration,f,fr
lime,f,fr
linaire,f,fr
limonade,f,fr
ligne,f,fr
lie,f,fr
licence,f,fr
ligase,f,fr
lignine,f,fr
librairie,f,fr
libériste,m,fr
liberté,f,fr
libellule,f,fr
Nantes,f,fr
narcolepsie,f,fr
naissance,f,fr
nageoire,f,fr
nappe,f,fr
nacre,f,fr
nation,f,fr
nanotechnologie,f,fr
mûre,f,fr
météorologie,f,fr
météo,f,fr
